GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
11951,275.38,680.63,822.07,90.29,44.11,-27.68,-455.2,-3795.3,201.44,576.14,-2105.34,61.86,-1588.13,-2043.48,-3631.6
12001,277.53,670.04,831.11,88.03,59.16,-39.37,-452.38,-3892.99,210.69,659.26,-2081.2,61.68,-1588.93,-2019.52,-3608.44

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,0.0,0.0,0.0,0.0,-0.0,0.0,-136.85,526.14,0.0,-0.0,-444.37,-21.64,389.3,-466.01,-76.72
51,0.0,-0.0,-0.0,0.0,-0.0,0.0,-148.1,221.94,0.0,-0.0,-160.94,-22.52,73.84,-183.46,-109.62
101,0.0,-0.0,-0.0,0.0,0.0,-0.0,-152.68,250.87,0.0,0.0,-177.3,-23.66,98.19,-200.96,-102.77
151,0.0,-0.0,0.0,-0.0,0.0,0.0,-157.86,358.59,-0.0,-0.0,-274.73,-22.68,200.73,-297.41,-96.67
201,-0.0,0.0,0.0,-0.0,0.0,0.0,-141.4,288.76,0.0,-0.0,-218.53,-22.3,147.36,-240.83,-93.47
251,-0.0,0.0,0.0,-0.0,-0.0,0.0,-142.4,328.63,-0.0,0.0,-260.42,-23.58,186.23,-284.0,-97.77
301,0.0,-0.0,0.0,0.0,0.0,0.0,-143.07,307.36,0.0,0.0,-232.78,-23.61,164.28,-256.39,-92.11
351,0.0,0.0,0.0,0.0,0.0,-0.0,-151.43,325.19,0.0,-0.0,-247.52,-22.85,173.76,-270.37,-96.61
401,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-150.52,309.18,0.0,-0.0,-230.71,-23.57,158.67,-254.28,-95.61
451,0.0,-0.0,0.0,0.0,0.0,0.0,-160.02,204.09,-0.0,0.0,-131.33,-25.72,44.07,-157.05,-112.98
501,0.0,-0.0,0.0,0.0,0.0,-0.0,-152.86,155.65,-0.0,0.0,-82.34,-23.6,2.79,-105.95,-103.16
551,0.0,0.0,-0.0,0.0,0.0,-0.0,-162.04,316.68,0.0,0.0,-239.61,-25.02,154.63,-264.63,-109.99
601,-0.0,0.0,-0.0,0.0,-0.0,0.0,-152.46,297.92,0.0,0.0,-226.81,-23.06,145.46,-249.87,-104.41
651,0.0,0.0,0.0,0.0,0.0,0.0,-159.75,384.4,0.0,0.0,-299.78,-24.98,224.65,-324.76,-100.12
701,0.0,0.0,-0.0,-0.0,0.0,0.0,-162.49,333.06,0.0,0.0,-248.1,-24.48,170.57,-272.58,-102.01
751,0.0,-0.0,0.0,0.0,-0.0,-0.0,-151.98,276.66,0.0,-0.0,-202.11,-24.76,124.68,-226.87,-102.19
801,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-171.68,378.39,-0.0,0.0,-297.84,-24.54,206.7,-322.38,-115.68
851,0.0,0.0,0.0,-0.0,0.0,-0.0,-150.24,213.09,0.0,0.0,-148.45,-25.29,62.85,-173.74,-110.89
901,0.0,0.0,-0.0,-0.0,0.0,-0.0,-149.75,164.85,0.0,0.0,-108.12,-25.26,15.1,-133.38,-118.28
951,-0.0,0.0,0.0,0.0,0.0,0.0,-155.18,282.24,0.0,0.0,-211.05,-25.65,127.06,-236.69,-109.63
1001,0.0,0.0,-0.0,0.0,0.0,0.0,-138.89,265.76,0.0,0.0,-202.46,-22.21,126.87,-224.66,-97.79
1051,0.0,0.0,0.0,0.0,0.0,0.0,-154.91,389.24,-0.0,-0.0,-308.31,-23.98,234.33,-332.28,-97.95
1101,0.0,-0.0,0.0,0.0,0.0,0.0,-163.96,203.11,-0.0,0.0,-129.65,-25.58,39.15,-155.23,-116.08
1151,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-150.15,305.54,0.0,0.0,-237.35,-23.99,155.39,-261.34,-105.95
1201,-0.0,0.0,-0.0,0.0,0.0,0.0,-154.04,299.28,0.0,-0.0,-223.13,-24.43,145.24,-247.56,-102.32
1251,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-159.11,372.09,0.0,-0.0,-296.21,-22.88,212.99,-319.1,-106.11
1301,0.0,0.0,-0.0,0.0,0.0,0.0,-157.02,306.63,0.0,0.0,-229.22,-23.75,149.61,-252.97,-103.35
1351,0.0,0.0,0.0,0.0,-0.0,-0.0,-153.15,345.99,0.0,0.0,-275.94,-22.91,192.84,-298.85,-106.01
1401,0.0,0.0,0.0,0.0,0.0,0.0,-138.74,386.11,0.0,-0.0,-316.63,-20.82,247.37,-337.45,-90.08
1451,0.0,0.0,0.0,0.0,0.0,0.0,-140.09,398.02,-0.0,0.0,-327.07,-22.21,257.93,-349.28,-91.35
1501,-0.0,0.0,0.0,0.0,0.0,0.0,-161.91,560.58,0.0,0.0,-477.32,-22.99,398.67,-500.32,-101.64
1551,-0.0,0.0,0.0,0.0,-0.0,0.0,-150.43,398.63,0.0,-0.0,-329.91,-23.34,248.21,-353.25,-105.04
1601,-0.0,0.0,0.0,0.0,-0.0,-0.0,-142.41,319.5,0.0,-0.0,-252.47,-22.04,177.09,-274.51,-97.42
1651,0.0,0.0,-0.0,0.0,0.0,0.0,-149.21,326.29,0.0,0.0,-259.44,-22.9,177.08,-282.34,-105.25
1701,0.0,0.0,-0.0,-0.0,-0.0,0.0,-146.2,375.6,-0.0,-0.0,-298.51,-22.82,229.4,-321.33,-91.93
1751,0.0,0.0,0.0,0.0,0.0,-0.0,-154.81,411.43,-0.0,-0.0,-322.56,-22.28,256.62,-344.84,-88.22
1801,-0.0,0.0,-0.0,0.0,0.0,-0.0,-140.6,404.19,-0.0,-0.0,-331.01,-20.28,263.59,-351.29,-87.7
1851,0.0,0.0,-0.0,0.0,0.0,0.0,-148.76,436.23,0.0,0.0,-354.6,-21.11,287.47,-375.71,-88.24
1901,0.0,-0.0,0.0,-0.0,0.0,-0.0,-154.48,388.35,-0.0,0.0,-308.88,-21.81,233.87,-330.69,-96.82
1951,-0.0,0.0,0.0,-0.0,0.0,0.0,-159.16,272.65,-0.0,0.0,-192.72,-22.65,113.49,-215.37,-101.88
2001,0.0,-0.0,0.0,-0.0,0.0,-0.0,-163.45,546.97,0.0,0.0,-454.95,-22.74,383.51,-477.69,-94.17
2051,0.0,-0.0,0.0,0.0,0.0,-0.0,-148.31,354.17,0.0,0.0,-284.39,-23.27,205.86,-307.66,-101.8
2101,0.0,0.0,-0.0,0.0,-0.0,-0.0,-147.73,356.61,0.0,0.0,-283.85,-22.53,208.87,-306.37,-97.5
2151,0.0,0.0,0.0,-0.0,0.0,-0.0,-160.21,248.43,-0.0,0.0,-175.75,-24.89,88.22,-200.64,-112.42
2201,0.0,0.0,0.0,0.0,0.0,0.0,-141.56,367.36,0.0,0.0,-301.45,-22.68,225.81,-324.12,-98.31
2251,0.0,0.0,0.0,0.0,0.0,0.0,-162.66,378.69,-0.0,0.0,-300.5,-24.17,216.03,-324.67,-108.64
2301,-0.0,-0.0,0.0,0.0,0.0,0.0,-152.77,411.31,0.0,0.0,-340.56,-22.4,258.54,-362.97,-104.43
2351,0.0,0.0,0.0,0.0,0.0,-0.0,-148.06,420.9,-0.0,0.0,-342.76,-22.24,272.85,-365.0,-92.15
2401,-0.0,0.0,-0.0,0.0,-0.0,0.0,-157.81,350.92,-0.0,0.0,-269.79,-22.6,193.11,-292.4,-99.29
2451,0.0,-0.0,-0.0,0.0,0.0,0.0,-139.78,280.81,0.0,0.0,-208.99,-20.71,141.02,-229.7,-88.68
2501,0.0,-0.0,0.0,0.0,0.0,0.0,-140.22,251.75,0.0,0.0,-186.78,-22.32,111.53,-209.11,-97.58
2551,0.0,0.0,0.0,-0.0,0.0,0.0,-147.69,367.91,0.0,-0.0,-294.44,-22.37,220.22,-316.81,-96.59
2601,0.0,-0.0,-0.0,0.0,0.0,-0.0,-146.52,324.91,0.0,-0.0,-256.03,-22.93,178.39,-278.95,-100.56
2651,0.0,0.0,0.0,0.0,-0.0,-0.0,-150.59,353.81,-0.0,0.0,-278.72,-21.79,203.22,-300.52,-97.29
2701,0.0,0.0,-0.0,0.0,-0.0,0.0,-152.3,356.78,-0.0,-0.0,-275.28,-22.97,204.48,-298.26,-93.78
2751,-0.0,-0.0,0.0,0.0,0.0,0.0,-138.32,303.57,0.0,0.0,-237.26,-21.36,165.25,-258.63,-93.38
2801,-0.0,-0.0,0.0,0.0,-0.0,0.0,-154.42,254.4,0.0,0.0,-183.32,-24.17,99.97,-207.49,-107.52
2851,0.0,0.0,-0.0,-0.0,0.0,-0.0,-160.56,460.92,0.0,-0.0,-366.11,-23.55,300.36,-389.65,-89.29
2901,-0.0,0.0,0.0,0.0,-0.0,-0.0,-149.3,283.15,0.0,0.0,-203.36,-23.02,133.85,-226.38,-92.53
2951,0.0,0.0,0.0,0.0,0.0,0.0,-153.7,380.72,-0.0,0.0,-297.22,-23.25,227.02,-320.47,-93.46
3001,-0.0,0.0,-0.0,0.0,-0.0,0.0,-151.15,338.63,0.0,0.0,-270.01,-22.91,187.48,-292.92,-105.44
3051,0.0,0.0,-0.0,0.0,-0.0,0.0,-148.03,547.15,0.0,0.0,-460.12,-21.98,399.12,-482.1,-82.98
3101,0.0,0.0,0.0,0.0,0.0,0.0,-142.11,297.31,-0.0,-0.0,-226.15,-21.39,155.2,-247.54,-92.34
3151,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-152.67,391.54,-0.0,0.0,-306.97,-22.3,238.87,-329.27,-90.39
