snapshot,time_ns,pock_volume,pock_asa,pock_pol_asa,pock_apol_asa,pock_asa22,pock_pol_asa22,pock_apol_asa22,nb_AS,mean_as_ray,mean_as_solv_acc,apol_as_prop,mean_loc_hyd_dens,hydrophobicity_score,volume_score,polarity_score,charge_score,prop_polar_atm,as_density,as_max_dst,convex_hull_volume,nb_abpa,ALA,ARG,ASN,ASP,CYS,GLN,GLU,GLY,HIS,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL
27.0,1.35,149.51,82.61,24.64,57.97,59.09,20.87,38.23,38.0,4.24,0.67,0.47,14.67,13.4,5.2,5.0,0.0,36.36,0.96,2.38,0.56,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
28.0,1.4000000000000001,279.31,142.52,38.66,103.86,101.68,34.78,66.9,72.0,4.24,0.63,0.65,42.81,13.86,4.71,5.0,0.0,30.0,1.76,5.74,11.66,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
29.0,1.4500000000000002,316.42,174.29,54.73,119.56,146.34,46.95,99.39,85.0,4.21,0.64,0.69,55.19,13.86,4.71,5.0,0.0,28.0,1.99,5.53,13.11,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
30.0,1.5,272.39,126.34,33.35,92.99,96.98,24.35,72.63,63.0,4.26,0.72,0.65,36.2,3.5,4.83,5.0,0.0,31.58,2.05,5.51,8.03,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
31.0,1.55,344.46,130.71,26.85,103.86,93.67,19.13,74.54,37.0,4.25,0.73,0.92,30.29,3.5,4.83,5.0,0.0,30.0,2.45,5.89,18.05,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
32.0,1.6,319.91,154.19,51.54,102.65,129.31,45.21,84.1,43.0,4.28,0.7,0.65,24.71,23.83,5.0,5.0,0.0,28.57,2.4,5.4,14.68,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
33.0,1.6500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,1.7000000000000002,241.87,107.46,10.85,96.61,64.7,3.53,61.16,19.0,4.22,0.7,0.84,13.25,13.86,4.71,5.0,0.0,25.0,2.59,4.28,3.71,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
35.0,1.75,221.13,90.16,3.21,86.95,60.65,5.22,55.43,35.0,4.42,0.6,0.66,20.17,20.0,4.5,4.0,-1.0,18.75,1.52,4.12,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
36.0,1.8,279.05,147.54,65.43,82.12,123.25,67.82,55.43,42.0,4.13,0.58,0.79,28.67,8.8,4.6,4.0,-1.0,33.33,2.56,7.02,2.27,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
37.0,1.85,275.64,155.13,24.71,130.42,120.09,22.61,97.48,69.0,4.31,0.59,0.96,61.42,8.8,4.6,4.0,-1.0,21.05,2.02,6.04,4.36,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
38.0,1.9000000000000001,158.06,101.41,28.95,72.46,88.64,31.3,57.34,29.0,4.21,0.69,1.0,25.59,18.75,4.75,3.0,0.0,27.27,1.24,3.12,0.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
39.0,1.9500000000000002,248.97,109.85,48.26,61.59,89.17,45.21,43.96,55.0,4.19,0.6,0.62,30.47,22.5,5.0,4.0,-1.0,29.41,2.16,4.65,2.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
40.0,2.0,306.6,139.99,39.75,100.23,101.33,38.26,63.07,26.0,4.11,0.49,0.85,19.18,8.8,4.6,4.0,-1.0,35.71,2.63,6.93,8.08,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
41.0,2.0500000000000003,325.5,215.65,61.07,154.58,168.78,71.3,97.48,60.0,4.34,0.5,0.92,51.56,23.83,5.0,5.0,0.0,22.73,2.28,5.87,13.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
42.0,2.1,241.31,151.95,39.64,112.31,122.36,38.26,84.1,116.0,4.19,0.53,0.78,86.27,3.5,4.83,5.0,0.0,27.27,1.97,5.42,4.35,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
43.0,2.15,361.0,213.55,58.97,154.58,156.95,55.65,101.3,68.0,4.24,0.52,0.81,51.75,23.83,5.0,5.0,0.0,31.82,2.52,7.7,19.36,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
44.0,2.2,243.76,160.42,30.0,130.42,117.31,31.3,86.01,62.0,4.21,0.54,0.68,37.38,23.83,5.0,5.0,0.0,26.67,1.77,5.42,6.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
45.0,2.25,102.52,44.8,8.57,36.23,34.06,3.48,30.58,1.0,4.52,0.53,1.0,0.0,27.75,4.75,3.0,1.0,25.0,,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
46.0,2.3000000000000003,358.39,201.03,65.78,135.25,178.18,76.88,101.3,67.0,4.27,0.61,0.61,37.32,10.38,5.0,6.0,1.0,31.82,2.23,7.57,23.06,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
47.0,2.35,232.38,137.5,42.1,95.4,96.46,31.47,64.99,39.0,4.12,0.51,0.74,25.31,3.5,4.83,5.0,0.0,35.71,1.89,4.63,5.29,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
